dimension_id,dimension_label,before_score,after_live_score,after_target_score,live_delta,target_delta,standard_anchor,notes
risk_classification,Risk Classification,30,82,100,52,70,"EU AI Act high-risk classification; Colorado high-risk AI system framing","Study classifies clinical/YMYL web remediation as high-risk information architecture while excluding diagnosis, treatment, triage, and legal decision-making."
intended_use,Intended Use And Limits,35,90,100,55,65,"EU AI Act intended-purpose and technical documentation logic","App is positioned as an audit/scorecard and research artifact, not clinical decision support or medical/legal advice."
human_oversight,Human Oversight,38,84,100,46,62,"EU AI Act Article 14 human oversight concepts","Human review is required before public study claims, public credential identifiers, directory claims, or final publication."
claim_provenance,Claim Provenance,32,92,100,60,68,"Google helpful content; Colorado documentation/impact assessment ideas","Claim-source map, source registry, entity triples, and schema graph separate authoritative claims from conflict evidence."
data_governance,Data Governance,44,86,100,42,56,"High-risk AI data governance and patient privacy expectations","Public app uses de-identified source and score data only; no patient data is included."
fairness_accessibility,Fairness And Accessibility,35,74,100,39,65,"Colorado algorithmic discrimination controls; EU accessibility obligations","Plain-language controls and patient-safety boundaries are present; full accessibility review remains."
security_robustness,Security And Robustness,36,82,100,46,64,"EU AI Act accuracy, robustness, and cybersecurity concepts","JSON/PHP/app validation is local; final publication still needs deployment rechecks and captured evidence."
notice_transparency,Notice And Transparency,45,92,100,47,55,"Colorado consumer AI disclosure; Google AI/search controls","Site, llms.txt, app, and paper disclose scope, limitations, and nonclinical use of AI tooling."
monitoring_corrections,Monitoring And Corrections,35,82,100,47,65,"Colorado annual review/correction logic; EU post-market monitoring concepts","Live change log and directory correction queue exist; final requires GBP/Healthgrades follow-up evidence."
publication_governance,Publication Governance,48,82,100,34,52,"Zenodo/GitHub/Hugging Face reproducibility and audit trail","Public-safe GitHub files are live and Hugging Face artifacts are staged; DOI/Kaggle/ORCID and Dr. Gayer review remain before submission."
